Formation,,,,,,,,,,,
Notes,All Formations of the Council of Death cannot be auto-hit by criticals and can roll their defense against critical damage just as any other damage,,,,,,,,,,
Spear,,,,,,,,,,,
Shield,,,,,,,,,,,
Hammer,,,,,,,,,,,
Monsters,,,,,,,,,,,
Cloak,"If a Unit dies within 12inches of this Formation, it rolls a Will check, on a success, the creature is revived as a Minion and is attached to this Formation.",,,,,,,,,,
Dagger,,,,,,,,,,,
Calvary,,,,,,,,,,,
Siege,,,,,,,,,,,
Hero/ Leader,,,,,,,,,,,
Minion,Minions of the Halls Of Order grant one damage to all successful hits and 1 HP to the Hero they are attached to,,,,,,,,,,
Archetype,Unit Name,Cost,Formation,Keywords,Number of Attacks,Attack,Damage per hit,Defense,Will,Health/ Toughness,More
Minions,Hordes,10,Minion,--,--,--/--,1/1,--,--,--/1,
Quick Strikers,Winged Horrors,35,"Spear, Dagger","Fly, Formation(4)",4,,,,,2/4,
Strikers,Wraiths,40,"Hammer, Shield",Fly,3,,,,,3/4,
Heavy Strikers,Reapers,50,"Hammer, Shield","Hero, Fly",3,,,,,3/5,
Mystics,Vampires,60,"Cloak, Dagger","Hero, Fly, Mystic(2)",3,,,,,5/4,
Tacticians (Elite Forces),Dread Knights,65,"Hammer, Spear, Shield","Hero, Fly",4,,,,,5/7,
Shooters,Skeleton Archers / Vile Spitters,30,Spear,Formation(4),3,,,,,3/3,
Heavy Mystics,Liches,80,"Cloak, Shield, Spear","Hero, Mystic(4)",4,,,,,6/6,
Chargers (Calvary),Werebeasts,70,"Spear, Calvary",Hero,4,,,,,10/3,
Heavy Chargers,Death Knights,90,"Hammer, Shield, Calvary",Hero,4,,,,,9/5,
Monsters,Undead Monstrosity,350,Monster,Formation(1),6,,,,,25/8,
Artillery Weapons,Banshee,295,"Spear, Siege","Hero, Fly, Mystic(4)",5,,,,,18/9,
Siege Weapons,Death Chariot,350,"Shield, Siege","Hero, Fly, Mystic(2)",3,,,,,25/5,
,,,,,,,,,,,
Possible lists,500,,1000,,1500,,,,,,
,Count,Fomation,Count,Fomation,Count,Fomation,,,,,
Hordes,8,Minion,,Minion,,Minion,,,,,
Winged Horrors,,,,"Spear, Dagger",,"Spear, Dagger",,,,,
Wraiths,,,,"Hammer, Shield",,"Hammer, Shield",,,,,
Reapers,5,Hammer,,"Hammer, Shield",,"Hammer, Shield",,,,,
Vampires,,,,"Cloak, Dagger",,"Cloak, Dagger",,,,,
Dread Knights,,,,"Hammer, Spear, Shield",,"Hammer, Spear, Shield",,,,,
Skeleton Archers / Vile Spitters,,,,Spear,,Spear,,,,,
Liches,1,"Cloak, Spear",,"Cloak, Shield, Spear",,"Cloak, Shield, Spear",,,,,
Werebeasts,,,,"Spear, Calvary",,"Spear, Calvary",,,,,
Death Knights,1,"Hammer, Calvary",,"Hammer, Shield, Calvary",,"Hammer, Shield, Calvary",,,,,
Undead Monstrosity,,,,Monster,,Monster,,,,,
Banshee,,,,"Spear, Siege",,"Spear, Siege",,,,,
Death Chariot,,,,"Shield, Siege",,"Shield, Siege",,,,,
,500,,0,,0,,,,,,
